track_album_name,valence,energy,danceability,tempo,loudness,cluster
CHROMAKOPIA,0.505953624399415,0.8797351768594445,0.6543853928920769,0.17767114920753235,0.8903152651507483,2
The Pre-Party (Extended),0.40045957802381443,0.3966714705782132,0.725029888055646,0.15419733532097274,0.7886285864701238,0
Alligator Bites Never Heal,0.31167745978692285,0.7123666313221714,0.9945658080643407,0.35614977690818556,0.8679004596351267,2
Tailor Swif,0.19051598078128262,0.5279605691733197,0.8315400499945657,0.151490211911343,0.8618259865956629,0
LYFESTYLE,0.221850846041362,0.7534571125618612,0.6293881099880447,0.5683923931385033,0.8472270030574849,2
Get Rich Or Die Tryin',0.40463756005849166,0.8276204201652038,0.6467775241821541,0.31205938072610956,0.9139854617611923,2
Not Like Us,0.19260497179862124,0.472839191900565,0.9119660906423214,0.2734505212377197,0.8315548626156681,0
BAND4BAND (feat. Lil Baby),0.8945059536243993,0.7654835948759168,0.894576676448212,0.47558930401565275,0.867191771113856,3
WE DON'T TRUST YOU,0.08606642991435136,0.5530157406609355,0.6315617867623083,0.5005797281489073,0.8583230404762388,0
41 World: Not The Album,0.23334029663672443,0.6331922894213058,0.8576241712857297,0.3921188028613725,0.823860530099014,2
Meet The Woo,0.6469605180697723,0.8065740761156066,0.5315726551461798,0.4858535979378242,0.8572498835726002,3
SET IT OFF,0.4213494881972007,0.6321900825618011,0.7750244538637104,0.38107808731120013,0.8704112418247718,2
6locc 6a6y,0.6741174012951744,0.7033467695866298,0.8826214541897619,0.39782291375508555,0.8108206613076316,3
All My Life (feat. J. Cole),0.7346981407979944,0.5710554641320187,0.7913270296706879,0.49039825253372255,0.8542328952963332,3
HEROES & VILLAINS,0.525799039064132,0.5840841533055788,0.7065536354744049,0.35400685321490316,0.8660376212363579,3
Levon James,0.3868811364111134,0.5931040150411205,0.8271926964460383,0.5784237605722744,0.8315346143722033,2
Wild West,0.6939628159598912,0.681298218677528,0.8597978480599934,0.4957400333343686,0.8481786705003342,3
american dream,0.31481094631293083,0.759470353718889,0.6761221606347136,0.6065250473617194,0.8412132747484157,2
Finally Rich,0.18947148527261332,0.4137089871897919,0.7750244538637104,0.4334089050384588,0.807398708162067,0
Pluto x Baby Pluto,0.3733026947984123,0.6592496677684261,0.7532876861210738,0.5368644988974813,0.8458096260149434,2
Meet The Woo 2,0.6083141842490076,0.7334129753717686,0.5315726551461798,0.4894510181475616,0.8588697430497906,3
JACKBOYS,0.46208481303530385,0.6772893912395095,0.581567220954244,0.4930018530596189,0.8557110170692693,2
Shoot For The Stars Aim For The Moon,0.2678086484228117,0.6191613933882409,0.46853602869253336,0.26640578899965844,0.8588089983193959,2
Neva Cared,0.33047837894297044,0.35056995504100025,0.829366373220302,0.15164032009275658,0.7261425071375059,0
Yellow Tape,0.7472320869020262,0.9478852433057593,0.8098032822519291,0.5274956779196041,0.8528560147407214,3
SAVAGE MODE II,0.40254856904115305,0.627179048264278,0.8261058580589065,0.4905845937244428,0.8806973495049306,2
Welcome to O'Block,0.21140589095466888,0.5931040150411205,0.692424736441691,0.7237233040363573,0.8461335979103815,2
Lil Boat 3.5,0.6020472111969918,0.5480047063634123,0.9358765351592218,0.46491091855854744,0.8724765626581895,3
Street Gossip,0.10277835805306038,0.3956692637187086,0.797848059993479,0.14882449765520667,0.8603681130661917,0
Glock Bond,0.542510967202841,0.7755056634709631,0.8782741006412346,0.4232791908651408,0.8560552372081723,3
Scary Hours 2,0.07353248381031961,0.44978843413195857,0.5641778067601346,0.4543308798409889,0.8447567173547696,0
"Honestly, Nevermind",0.35136828911635676,0.6742827706609956,0.5109227257906749,0.6091752331852955,0.8779233401502421,2
